81.409,121.97,22.834
61.204,2.8594,86.251
90.235,28.77,52.88
297.34,53.769,110.74
45.032,38.22,56.116
134.62,184.49,148.48
82.318,31.249,80.004
83.83,155.95,45.014
48.717,66.319,515.22
34.976,250.89,139.51
211.59,12.578,80.468
45.634,267.35,181.9
13.414,660.88,77.763
136.4,279.22,64.464
197.67,2.2381,46.981
42.866,115.22,14.076
226.16,14.818,82.106
14.367,264.78,124.47
82.401,120.15,493.49
153.55,171.81,49.459
26.752,431.93,281.3
208.04,61.072,79.804
438.93,35.524,72.258
568.3,70.208,3.3886
39.318,2.9092,75.896
105.99,44.565,42.907
321.83,10.314,54.576
36.654,132.92,373.72
65.246,49.42,48.348
479.21,112.64,16.645
111.91,50.919,16.607
216.93,4.3705,85.407
67.791,5.8797,71.482
48.595,14.839,71.689
50.265,753.77,124.65
284.17,4.8961,62.676
35.083,37.829,196.02
249.31,169.46,21.007
76.404,19.138,66.056
404.78,331.97,31.375
21.355,378.21,285.04
50.102,91.016,331.35
325.59,31.386,101.82
76.126,132.95,235.32
365.42,38.697,0.59555
8.092,431.95,80.274
34.002,184.81,53.793
201.22,4.0194,88.316
43.668,750.99,395.7
50.992,114.05,175.55
25.767,275.46,211.54
65.082,2.1189,79.049
37.98,391.84,372.75
20.646,223.41,183.35
345.92,133.82,9.8893
24.855,283.93,108.72
284.12,1.6204,82.124
431.21,109.58,1.1765
110.18,127.54,2.6072
209.13,7.7909,47.454
402.07,266.53,54.429
60.767,240.91,11.501
282.15,19.635,70.991
28.021,294.83,210.16
40.814,74.358,348.97
50.694,258.7,146.75
91.9,241.48,52.76
55.885,14.783,365.27
307.09,24.695,72.479
445.3,131.31,111.55
435.35,17.451,74.434
69.297,296.43,317.42
224.86,128.72,183.77
29.743,13.016,89.582
29.144,280.71,76.088
458.11,5.9033,76.297
130.01,129.49,59.918
125.3,11.927,87.403
183.5,41.862,19.518
50.877,256.92,391.03
95.768,30.257,92.304
311.84,44.251,222.74
16.554,92.067,91.104
161.01,6.6891,78.513
176.96,21.009,79.766
469.46,14.499,61.176
45.298,286.85,482.56
391.87,7.77,53.108
267.56,10.108,80.489
37.072,350.56,310.3
101.58,11.857,72.43
410.2,131.79,97.884
42.457,5.6157,81.418
